"","x"
"1",-0.291086694339954
"2",-6.02943047241658
"3",-3.68998964929568
"4",-3.90917691667468
"5",-10.1327964958321
"6",-1.98239182745919
"7",-3.79958328298518
"8",0
"9",-9.66923976087146
"10",0
"11",0
"12",0
"13",-6.10104959046473
"14",-0.654945062264897
"15",0
"16",-6.83201113014384
"17",0
"18",-0.824536391879072
"19",0
"20",0
"21",-0.736193207034886
"22",-0.48514449056659
"23",0
"24",0
"25",-11.6179371163345
"26",-26.2824310468967
"27",-39.3464859156343
"28",-0.0588954565627909
"29",-0.528637820655784
"30",0
"31",0
"32",-10.9116067340481
"33",-0.117790913125582
"34",0
"35",0
"36",0
"37",-0.547968168447513
"38",-0.0588954565627909
"39",0
"40",0
"41",-0.657561802137015
"42",0
"43",0
"44",-31.5677695565304
"45",-11.8241224850926
"46",-15.6113786022128
"47",-19.6992536974131
"48",0
"49",0
"50",-8.14149205169722
"51",-17.7341930887615
"52",-4.15822853629463
"53",-5.55308142201722
"54",-7.70876019965986
"55",0
"56",-6.87871458185837
"57",-19.8127872477142
"58",-26.878982749636
"59",0
"60",-1.31512360427403
"61",-5.26472135335791
"62",-3.89319898176207
"63",-0.353372739376745
"64",-0.971775033286049
"65",0
"66",0
"67",-0.530059109065118
"68",0
"69",0
"70",-2.37887019295103
"71",-1.97268540641105
"72",0
"73",-0.530059109065118
"74",-4.53454897059367
"75",-1.97268540641105
"76",-4.12836418405369
"77",0
"78",-4.12836418405369
"79",-0.530059109065118
"80",0
"81",0
"82",-11.1074490569239
"83",-8.43972173933897
"84",-4.12836418405369
"85",-4.12836418405369
"86",0
"87",0
"88",-0.436630041509931
"89",0
"90",-1.97268540641105
"91",0
"92",0
"93",0
"94",-1.97268540641105
"95",-37.1741716823398
"96",-8.13715701682403
"97",-0.530059109065118
"98",0
"99",-2.64318910327892
"100",-1.17790913125582
"101",0
"102",0
"103",0
"104",0
"105",-8.00134720458096
"106",-1.53431087165304
"107",-3.07224851909662
"108",0
"109",-1.53431087165304
"110",-1.20552997058453
"111",0
"112",-5.51688752586981
"113",-6.55305362914308
"114",-0.0883431848441863
"115",-15.0721845462646
"116",-0.0242572245283295
"117",-11.8070212435874
"118",0
"119",0
"120",-11.4543910474715
"121",-7.16079203121235
"122",-17.5249490149076
"123",-3.80391655603698
"124",-26.8736596394172
"125",-9.20687717516549
"126",-11.9342300101278
"127",-11.3625559528081
"128",-7.05119839752285
"129",-15.7657486027568
"130",-7.54979521310845
"131",-11.3222315923076
"132",0
"133",-4.26480382207525
"134",-58.7362278321331
"135",-10.9966738897296
"136",-9.2987122698289
"137",-14.140564698482
"138",-11.2727554393245
"139",-21.1405227670333
"140",-8.63791499400917
"141",-5.7447389223753
"142",-0.48514449056659
"143",-26.0587770819357
"144",-0.618402293909304
"145",-18.3937378225972
"146",-0.328780901068508
"147",0
"148",0
"149",-0.530059109065118
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
